City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Cazones,MX,2020-06-24 02:23:42,20.72,-97.32,81.59,85,92,10.38
113,Kaz,RU,2020-06-24 02:23:42,52.91,87.31,69.49,64,100,1.45
114,Aksu,CN,2020-06-24 02:23:43,41.12,80.26,84.04,20,72,6.13
115,Lagoa,PT,2020-06-24 02:23:43,39.05,-27.98,61.21,63,0,12.75
116,Marienburg,PL,2020-06-24 02:23:43,54.04,19.03,57.99,100,86,5.82
117,East London,ZA,2020-06-24 02:23:43,-33.02,27.91,67.06,27,0,7.27
118,Labuhan,ID,2020-06-24 02:23:43,-6.88,112.21,81.84,72,96,4.94
119,Qaanaaq,GL,2020-06-24 02:23:43,77.48,-69.36,36.84,78,0,4.21
120,Lompoc,US,2020-06-24 02:23:43,34.64,-120.46,63.0,77,100,13.87
121,Okha,RU,2020-06-24 02:23:43,53.57,142.95,42.69,94,100,11.43
122,Kapaa,US,2020-06-24 02:20:33,22.08,-159.32,82.99,69,1,11.41
123,Rawson,AR,2020-06-24 02:23:43,-43.3,-65.1,45.66,57,42,10.51
124,Maues,BR,2020-06-24 02:23:43,-3.38,-57.72,75.88,73,1,1.41
125,Buala,SB,2020-06-24 02:23:43,-8.14,159.59,86.09,61,12,6.69
126,Popondetta,PG,2020-06-24 02:23:43,-8.75,148.25,88.5,55,11,5.46
127,Ahuimanu,US,2020-06-24 02:23:43,21.44,-157.84,84.2,58,1,10.29
128,Dikson,RU,2020-06-24 02:23:43,73.51,80.55,39.0,78,0,9.6
129,Padang,ID,2020-06-24 02:23:44,-0.95,100.35,76.55,83,100,7.05
130,Kodiak,US,2020-06-24 02:23:44,57.79,-152.41,51.8,81,90,11.41
131,Carnarvon,AU,2020-06-24 02:20:30,-24.87,113.63,68.0,49,0,14.99
132,Maldonado,UY,2020-06-24 02:23:44,-34.67,-54.92,57.2,87,90,8.05
133,Ponta Do Sol,PT,2020-06-24 02:20:33,32.67,-17.1,69.8,64,40,6.93
134,Carora,VE,2020-06-24 02:23:44,10.18,-70.08,75.43,73,21,11.79
135,Awbari,LY,2020-06-24 02:23:44,26.59,12.78,76.84,24,0,13.71
136,Lavrentiya,RU,2020-06-24 02:19:34,65.58,-171.0,41.07,68,100,9.55
137,Ormara,PK,2020-06-24 02:23:44,25.21,64.64,85.21,73,0,2.91
138,Killybegs,IE,2020-06-24 02:23:44,54.63,-8.45,52.68,91,100,8.14
139,Luderitz,NA,2020-06-24 02:23:44,-26.65,15.16,68.0,30,0,3.36
140,Ust-Nera,RU,2020-06-24 02:23:44,64.57,143.2,80.26,29,4,2.84
141,Grindavik,IS,2020-06-24 02:23:44,63.84,-22.43,48.2,100,90,11.41
142,Tuatapere,NZ,2020-06-24 02:23:44,-46.13,167.68,50.43,78,67,4.21
143,Kahului,US,2020-06-24 02:20:01,20.89,-156.47,87.8,43,40,20.8
144,Ilulissat,GL,2020-06-24 02:20:21,69.22,-51.1,39.2,86,76,4.7
145,Nanortalik,GL,2020-06-24 02:23:44,60.14,-45.24,40.39,77,27,6.11
146,Touho,NC,2020-06-24 02:23:45,-20.78,165.23,75.97,62,1,3.44
147,Cranbrook,CA,2020-06-24 02:23:45,49.5,-115.77,75.2,41,75,9.17
148,Codajas,BR,2020-06-24 02:23:45,-3.84,-62.06,74.68,94,83,2.86
149,Boende,CD,2020-06-24 02:23:45,-0.22,20.87,72.05,83,92,1.21
150,Talnakh,RU,2020-06-24 02:20:39,69.49,88.4,62.6,55,100,6.71
151,Urumqi,CN,2020-06-24 02:23:38,43.8,87.6,78.8,24,100,2.24
152,Swellendam,ZA,2020-06-24 02:23:45,-34.02,20.44,41.0,93,0,2.13
153,Limoux,FR,2020-06-24 02:23:45,42.92,2.17,64.4,93,0,9.17
154,Kavieng,PG,2020-06-24 02:23:45,-2.57,150.8,86.22,68,8,9.19
155,Asyut,EG,2020-06-24 02:23:45,27.18,31.18,78.8,36,0,6.93
156,Xichang,CN,2020-06-24 02:23:45,27.9,102.26,66.9,82,100,1.61
157,Mozarlandia,BR,2020-06-24 02:23:45,-14.74,-50.57,70.18,55,0,1.39
158,Del Rio,US,2020-06-24 02:23:45,29.36,-100.9,93.2,41,1,8.05
159,Gazanjyk,TM,2020-06-24 02:23:46,39.24,55.52,82.49,18,0,3.33
160,Alofi,NU,2020-06-24 02:23:46,-19.06,-169.92,80.6,74,40,3.36
161,Pimentel,PE,2020-06-24 02:23:46,-6.84,-79.93,63.25,86,69,13.98
162,Sterling,US,2020-06-24 02:23:46,39.01,-77.43,82.0,69,75,10.29
163,Airai,TL,2020-06-24 02:23:46,-8.93,125.41,68.45,75,35,4.29
164,Asfi,MA,2020-06-24 02:23:46,32.3,-9.24,68.76,85,100,6.89
165,Morant Bay,JM,2020-06-24 02:23:46,17.88,-76.41,87.8,58,20,18.34
166,Preobrazheniye,RU,2020-06-24 02:23:46,42.9,133.91,61.38,79,100,7.61
167,Cedar City,US,2020-06-24 02:23:46,37.68,-113.06,87.8,12,1,4.7
168,Paamiut,GL,2020-06-24 02:20:46,61.99,-49.67,39.67,81,62,11.74
169,Sungaipenuh,ID,2020-06-24 02:23:46,-2.08,101.38,68.43,87,99,0.6
170,Korla,CN,2020-06-24 02:23:46,41.76,86.15,85.93,15,93,14.23
171,Rio Gallegos,AR,2020-06-24 02:23:46,-51.62,-69.22,32.0,91,12,10.29
172,Presov,SK,2020-06-24 02:23:46,49.17,21.25,62.6,67,8,12.75
173,Puerto Baquerizo Moreno,EC,2020-06-24 02:23:46,-0.9,-89.6,68.88,89,9,10.69
174,Timra,SE,2020-06-24 02:23:47,62.49,17.33,57.99,93,62,2.24
175,Hirado,JP,2020-06-24 02:23:47,33.36,129.55,86.0,51,75,10.29
176,Isangel,VU,2020-06-24 02:23:47,-19.55,169.27,80.6,83,75,9.17
177,Sayyan,YE,2020-06-24 02:23:47,15.17,44.32,63.34,36,51,3.2
178,Norman Wells,CA,2020-06-24 02:20:33,65.28,-126.83,51.8,71,75,18.34
179,Lodja,CD,2020-06-24 02:23:47,-3.48,23.43,67.75,55,3,1.1
180,Vredendal,ZA,2020-06-24 02:23:47,-31.67,18.5,59.49,34,0,8.77
181,Benguela,AO,2020-06-24 02:23:47,-12.58,13.41,68.22,70,84,3.47
182,Upernavik,GL,2020-06-24 02:23:47,72.79,-56.15,33.69,93,39,9.93
183,Cururupu,BR,2020-06-24 02:23:47,-1.83,-44.87,74.57,93,15,3.49
184,Espanola,US,2020-06-24 02:23:47,35.99,-106.08,72.0,30,1,11.41
185,Tianguismanalco,MX,2020-06-24 02:23:47,18.95,-98.43,59.79,84,100,6.29
186,Biak,ID,2020-06-24 02:23:47,-0.91,122.88,75.76,90,100,8.79
187,Victoria,HK,2020-06-24 02:19:44,22.29,114.16,90.0,66,99,15.01
188,Saint George,US,2020-06-24 02:20:30,37.1,-113.58,102.99,8,1,13.87
189,Chernyshevskiy,RU,2020-06-24 02:23:47,63.01,112.47,54.7,89,100,7.36
190,Lira,UG,2020-06-24 02:23:48,2.23,32.91,63.01,95,0,2.19
191,Boyolangu,ID,2020-06-24 02:23:48,-8.12,111.89,79.81,76,96,10.96
192,Ribeira Grande,PT,2020-06-24 02:20:20,38.52,-28.7,60.93,67,59,15.59
193,Graham,US,2020-06-24 02:23:48,47.05,-122.29,75.99,64,1,5.82
194,Belyy Yar,RU,2020-06-24 02:23:48,53.6,91.39,66.2,77,0,2.28
195,Washington,US,2020-06-24 02:22:48,47.5,-120.5,89.6,27,40,2.15
196,Tecoanapa,MX,2020-06-24 02:23:48,16.52,-98.75,82.02,76,100,1.34
197,Lyubytino,RU,2020-06-24 02:23:48,58.81,33.39,55.83,73,0,2.71
198,Meulaboh,ID,2020-06-24 02:23:48,4.14,96.13,79.45,72,98,4.27
199,Camacha,PT,2020-06-24 02:23:48,33.08,-16.33,68.0,77,40,11.41
200,Saint-Augustin,CA,2020-06-24 02:23:48,51.23,-58.65,61.14,91,100,9.89
201,Torbay,CA,2020-06-24 02:20:30,47.67,-52.73,66.2,88,75,24.16
202,Ercis,TR,2020-06-24 02:23:48,39.03,43.36,53.6,62,0,3.36
203,Takoradi,GH,2020-06-24 02:23:48,4.88,-1.76,77.13,87,96,7.09
204,Zhigansk,RU,2020-06-24 02:23:48,66.77,123.37,73.33,44,34,3.71
205,Dingle,PH,2020-06-24 02:23:48,11.0,122.67,87.69,64,100,6.58
206,Hokitika,NZ,2020-06-24 02:23:49,-42.72,170.97,57.99,53,0,2.3
207,Kudahuvadhoo,MV,2020-06-24 02:20:21,2.67,72.89,83.88,76,100,13.47
208,Pevek,RU,2020-06-24 02:23:49,69.7,170.31,32.65,95,88,13.22
209,Wagga Wagga,AU,2020-06-24 02:23:49,-35.12,147.37,46.4,100,90,3.36
210,Touros,BR,2020-06-24 02:20:52,-5.2,-35.46,75.2,88,75,4.7
211,Port Elizabeth,ZA,2020-06-24 02:20:22,-33.92,25.57,48.2,66,0,4.7
212,Ballina,AU,2020-06-24 02:23:49,-28.87,153.57,63.0,51,0,10.29
213,Tiksi,RU,2020-06-24 02:23:49,71.69,128.87,60.21,54,44,6.29
214,Port Hardy,CA,2020-06-24 02:23:49,50.7,-127.42,59.0,100,90,4.7
215,Bengkulu,ID,2020-06-24 02:23:49,-3.8,102.27,77.92,86,100,1.66
216,Escanaba,US,2020-06-24 02:23:49,45.75,-87.06,57.99,82,95,1.01
217,Murray Bridge,AU,2020-06-24 02:23:49,-35.12,139.27,55.99,85,69,4.0
218,Danshui,CN,2020-06-24 02:23:49,22.8,114.47,90.0,17,100,1.99
219,Nhulunbuy,AU,2020-06-24 02:23:49,-12.23,136.77,80.6,61,75,17.22
220,Ak-Dovurak,RU,2020-06-24 02:23:49,51.18,90.6,64.47,47,0,2.17
221,Pangnirtung,CA,2020-06-24 02:23:49,66.15,-65.71,43.83,82,100,1.01
222,Marsh Harbour,BS,2020-06-24 02:23:50,26.54,-77.06,82.36,80,38,5.79
223,Thongwa,MM,2020-06-24 02:23:50,16.76,96.53,82.4,83,40,3.36
224,Seoul,KR,2020-06-24 02:20:45,37.57,126.98,75.2,94,90,12.75
225,Nixa,US,2020-06-24 02:23:50,37.04,-93.29,71.01,70,30,6.04
226,Berlevag,NO,2020-06-24 02:23:50,70.86,29.09,44.73,77,7,9.19
227,Mokhsogollokh,RU,2020-06-24 02:23:50,61.47,128.92,79.27,38,71,1.01
228,Waipawa,NZ,2020-06-24 02:23:50,-41.41,175.52,53.6,87,89,16.11
229,Fiche,ET,2020-06-24 02:23:50,9.8,38.73,52.27,69,37,0.72
230,Iralaya,HN,2020-06-24 02:23:50,15.0,-83.23,82.09,82,100,15.79
231,Ixtapa,MX,2020-06-24 02:20:04,20.7,-105.2,84.2,79,75,10.29
232,Sinnamary,GF,2020-06-24 02:23:50,5.38,-52.95,77.18,90,100,7.87
233,Vanimo,PG,2020-06-24 02:23:50,-2.67,141.3,87.71,59,58,6.6
234,Kavaratti,IN,2020-06-24 02:23:50,10.57,72.64,84.2,76,86,16.44
235,Ariquemes,BR,2020-06-24 02:23:50,-9.91,-63.04,73.62,80,9,1.07
236,Katsuura,JP,2020-06-24 02:23:50,35.13,140.3,73.99,83,73,5.99
237,Lebu,CL,2020-06-24 02:23:51,-37.62,-73.65,48.0,80,100,8.55
238,Villablino,ES,2020-06-24 02:23:51,42.94,-6.32,64.0,84,0,3.71
239,Grimshaw,CA,2020-06-24 02:23:51,56.18,-117.6,68.0,37,20,12.75
240,Gillette,US,2020-06-24 02:23:51,44.29,-105.5,79.0,29,1,5.82
241,Vardo,NO,2020-06-24 02:23:51,70.37,31.11,41.83,75,4,5.66
242,Sambava,MG,2020-06-24 02:23:51,-14.27,50.17,70.25,81,53,12.19
243,Merauke,ID,2020-06-24 02:23:51,-8.47,140.33,82.31,70,34,10.65
244,Abu Dhabi,AE,2020-06-24 02:19:11,24.47,54.37,86.0,83,20,2.24
245,La Ronge,CA,2020-06-24 02:23:51,55.1,-105.28,78.8,39,75,6.93
246,Novikovo,RU,2020-06-24 02:23:51,51.15,37.89,55.9,92,60,12.28
247,Husavik,IS,2020-06-24 02:23:51,66.04,-17.34,44.6,93,100,9.17
248,Saint-Philippe,RE,2020-06-24 02:23:51,-21.36,55.77,66.2,68,5,5.82
249,Imeni Poliny Osipenko,RU,2020-06-24 02:23:51,52.42,136.49,65.05,60,100,6.38
250,Svetlyy Yar,RU,2020-06-24 02:23:51,48.47,44.78,69.8,37,63,11.18
251,Tiarei,PF,2020-06-24 02:19:01,-17.53,-149.33,82.4,61,40,4.7
252,Batagay-Alyta,RU,2020-06-24 02:23:51,67.8,130.41,82.2,27,71,8.66
253,Zatoka,UA,2020-06-24 02:23:52,46.07,30.47,68.0,88,99,4.47
254,Hasaki,JP,2020-06-24 02:23:52,35.73,140.83,72.0,83,75,14.99
255,Tambovka,RU,2020-06-24 02:23:52,50.1,128.05,55.4,93,75,11.18
256,Roald,NO,2020-06-24 02:23:52,62.58,6.13,57.2,93,98,4.7
257,Areni,AM,2020-06-24 02:23:52,39.72,45.18,64.4,52,20,9.17
258,Bambous Virieux,MU,2020-06-24 02:23:52,-20.34,57.76,71.6,83,75,11.41
259,Mandalgovi,MN,2020-06-24 02:23:52,45.76,106.27,60.89,48,44,18.97
260,Clyde River,CA,2020-06-24 02:23:52,70.47,-68.59,39.2,93,90,6.93
261,Cabo San Lucas,MX,2020-06-24 02:22:42,22.89,-109.91,91.99,37,5,18.34
262,Chengde,CN,2020-06-24 02:23:52,40.97,117.94,82.51,42,100,3.24
263,Saldus,LV,2020-06-24 02:23:52,56.66,22.49,55.44,79,98,4.05
264,Iqaluit,CA,2020-06-24 02:23:52,63.75,-68.51,41.0,86,75,13.87
265,Buchanan,LR,2020-06-24 02:23:52,5.88,-10.05,77.18,87,88,9.04
266,Zhanaozen,KZ,2020-06-24 02:23:52,43.3,52.8,76.5,36,0,14.25
267,Inongo,CD,2020-06-24 02:23:52,-1.95,18.27,69.44,64,99,1.7
268,Luwuk,ID,2020-06-24 02:19:55,-0.95,122.79,76.91,85,100,6.98
269,Garowe,SO,2020-06-24 02:23:52,8.41,48.48,79.75,60,33,24.0
270,Palmer,US,2020-06-24 02:23:53,42.16,-72.33,75.2,73,20,8.05
271,Hamilton,US,2020-06-24 02:23:53,39.18,-84.53,71.01,64,1,5.39
272,San-Pedro,CI,2020-06-24 02:23:53,4.75,-6.64,76.05,86,100,5.84
