City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
132,Boqueirao,BR,-7.5,-36.13,79.83,57,76,14.07,broken clouds,0.0,0
133,Fortuna,US,40.6,-124.16,57.2,100,90,5.82,overcast clouds,0.0,0
134,Lagoa,PT,39.05,-27.98,65.88,88,17,18.86,few clouds,0.0,0
135,San Patricio,MX,19.22,-104.7,93.2,59,75,11.41,broken clouds,0.0,0
136,Wilmington,US,34.23,-77.94,75.99,94,90,9.17,moderate rain,1.4,0
137,Masvingo,ZW,-20.06,30.83,56.08,75,81,6.6,broken clouds,0.0,0
138,Cidreira,BR,-30.18,-50.21,61.9,90,100,21.47,moderate rain,1.43,0
139,Naustdal,NO,61.51,5.72,73.4,46,2,8.05,clear sky,0.0,0
140,Harper,LR,4.38,-7.72,77.29,82,73,11.16,broken clouds,0.0,0
141,Arraial Do Cabo,BR,-22.97,-42.03,82.4,48,60,11.41,broken clouds,0.0,0
142,Praia Da Vitoria,PT,38.73,-27.07,73.4,69,20,13.4,few clouds,0.0,0
143,Provideniya,RU,64.38,-173.3,42.58,63,28,4.34,scattered clouds,0.0,0
144,Bambous Virieux,MU,-20.34,57.76,73.4,73,75,17.22,shower rain,0.0,0
145,Albury,AU,-36.08,146.92,46.99,100,90,0.85,overcast clouds,0.0,0
146,Wajima,JP,37.4,136.9,72.55,95,100,8.77,moderate rain,1.04,0
147,Hobyo,SO,5.35,48.53,79.45,77,23,27.83,few clouds,0.0,0
148,Norman Wells,CA,65.28,-126.83,51.8,93,90,5.82,overcast clouds,0.0,0
149,Raudeberg,NO,61.99,5.14,71.6,49,30,1.12,scattered clouds,0.0,0
150,Boden,SE,65.83,21.69,75.2,69,46,3.36,scattered clouds,0.0,0
151,Tual,ID,-5.67,132.75,80.38,77,95,19.06,overcast clouds,0.0,0
152,Tchibanga,GA,-2.85,11.03,72.79,81,67,4.52,broken clouds,0.0,0
153,Rio Gallegos,AR,-51.62,-69.22,35.6,91,40,10.29,scattered clouds,0.0,0
154,Mar Del Plata,AR,-38.0,-57.56,50.0,81,40,6.93,scattered clouds,0.0,0
155,Saldanha,ZA,-33.01,17.94,59.0,87,26,10.29,light rain,0.76,0
156,Barcelos,PT,41.54,-8.62,69.01,82,40,13.87,scattered clouds,0.0,0
157,Torbay,CA,47.67,-52.73,78.01,73,75,16.11,broken clouds,0.0,0
158,Creel,MX,27.75,-107.63,78.33,23,13,10.47,few clouds,0.0,0
159,Boa Vista,BR,2.82,-60.67,87.8,58,75,8.05,broken clouds,0.0,0
160,New Norfolk,AU,-42.78,147.06,45.0,83,22,3.0,light rain,0.25,0
161,Baie-Saint-Paul,CA,47.44,-70.5,70.0,59,54,10.0,broken clouds,0.0,0
162,Lorengau,PG,-2.02,147.27,82.33,77,85,11.23,moderate rain,2.07,0
163,Chokurdakh,RU,70.63,147.92,51.67,57,20,12.41,few clouds,0.0,0
164,Lokosovo,RU,61.13,74.82,51.46,94,15,10.29,few clouds,0.0,0
165,Edson,CA,53.58,-116.44,68.0,45,1,5.82,clear sky,0.0,0
166,Kargasok,RU,59.06,80.86,58.6,84,83,8.84,broken clouds,0.0,0
167,Port Elizabeth,ZA,-33.92,25.57,70.36,28,0,11.54,clear sky,0.0,0
168,Bud,US,39.45,-86.18,82.0,47,75,6.93,broken clouds,0.0,0
169,Woodward,US,36.43,-99.39,91.0,33,1,16.11,clear sky,0.0,0
170,Bengkulu,ID,-3.8,102.27,75.81,87,70,4.16,light rain,0.73,0
171,Werder,DE,52.38,12.93,81.0,37,41,5.84,scattered clouds,0.0,0
172,Namibe,AO,-15.2,12.15,69.17,70,14,12.35,few clouds,0.0,0
173,Iquique,CL,-20.22,-70.14,64.4,63,3,9.17,clear sky,0.0,0
174,Lavrentiya,RU,65.58,-171.0,39.15,73,9,4.85,clear sky,0.0,0
175,Rosita,NI,13.93,-84.4,85.48,63,35,6.02,light rain,0.16,0
176,Severo-Kurilsk,RU,50.68,156.12,46.99,74,41,10.33,scattered clouds,0.0,0
177,Shaunavon,CA,49.65,-108.42,69.28,55,46,13.76,scattered clouds,0.0,0
178,Ruhengeri,RW,-1.5,29.64,58.03,81,80,0.69,broken clouds,0.0,0
179,Pitalito,CO,1.85,-76.05,78.87,52,36,5.23,light rain,0.2,0
180,Saint-Gabriel,CA,46.3,-73.38,73.0,6,77,1.01,light rain,0.37,0
181,Henties Bay,NA,-22.12,14.28,57.0,90,0,5.01,clear sky,0.0,0
182,Faya,SA,18.39,42.45,77.0,49,0,8.05,clear sky,0.0,0
183,Alofi,NU,-19.06,-169.92,71.6,100,77,9.17,broken clouds,0.0,0
184,Belmonte,BR,-15.86,-38.88,78.8,69,40,5.82,scattered clouds,0.0,0
185,Vao,NC,-22.67,167.48,69.37,58,20,11.14,few clouds,0.0,0
186,Cabo San Lucas,MX,22.89,-109.91,93.2,61,5,5.82,clear sky,0.0,0
187,Soyo,AO,-6.13,12.37,74.37,80,94,10.58,overcast clouds,0.0,0
188,Machado,BR,-21.67,-45.92,73.62,60,94,6.04,overcast clouds,0.0,0
189,Auki,SB,-8.77,160.7,78.03,85,91,5.53,overcast clouds,0.0,0
190,Bang Bo,TH,13.57,100.84,91.0,79,75,5.82,thunderstorm,0.0,0
191,Kedrovyy,RU,56.17,91.82,64.4,82,47,2.37,scattered clouds,0.0,0
192,Coahuayana,MX,18.73,-103.68,75.2,83,75,6.93,broken clouds,0.0,0
193,Arlit,NE,18.74,7.39,106.63,7,52,9.8,broken clouds,0.0,0
194,Tasiilaq,GL,65.61,-37.64,44.6,75,75,9.17,fog,0.0,0
195,Jumla,NP,29.27,82.18,61.36,68,45,0.31,scattered clouds,0.0,0
196,Georgetown,MY,5.41,100.34,80.6,88,20,3.36,few clouds,0.0,0
197,Hamada,JP,34.88,132.08,73.99,77,99,1.99,moderate rain,1.89,0
198,San Anselmo,US,37.97,-122.56,71.6,60,1,8.37,clear sky,0.0,0
199,Carnarvon,AU,-24.87,113.63,55.4,100,0,7.94,clear sky,0.0,0
200,Dingle,PH,11.0,122.67,78.19,82,100,3.38,overcast clouds,0.0,0
201,Chuy,UY,-33.7,-53.46,55.27,67,91,16.53,overcast clouds,0.0,0
202,Anchorage,US,61.22,-149.9,57.2,50,20,4.7,few clouds,0.0,0
203,Hamilton,US,39.18,-84.53,84.0,44,75,8.05,broken clouds,0.0,0
204,Douentza,ML,15.0,-2.95,105.46,15,60,7.76,broken clouds,0.0,0
205,Birjand,IR,32.87,59.22,80.6,10,0,6.93,clear sky,0.0,0
206,Klaksvik,FO,62.23,-6.59,53.6,81,66,8.05,broken clouds,0.0,0
207,Thinadhoo,MV,0.53,72.93,83.68,78,99,11.56,overcast clouds,0.0,0
208,Dikson,RU,73.51,80.55,37.2,96,100,5.26,overcast clouds,0.0,0
209,Saint-Gaudens,FR,43.08,0.67,79.0,77,78,11.41,broken clouds,0.0,0
210,Tura,IN,25.52,90.22,74.88,98,100,6.98,moderate rain,1.29,0
211,Kisangani,CD,0.52,25.2,75.36,86,100,3.65,overcast clouds,0.0,0
212,Weihe,CN,33.0,105.32,66.4,89,95,4.16,light rain,0.36,0
213,Nhulunbuy,AU,-12.23,136.77,77.0,78,75,10.29,broken clouds,0.0,0
214,Wenling,CN,28.37,121.36,79.0,98,99,8.79,overcast clouds,0.0,0
215,San Carlos,VE,9.66,-68.58,86.97,62,63,3.44,light rain,0.15,0
216,Naze,JP,28.37,129.48,80.6,88,78,8.05,broken clouds,0.0,0
217,Newport,GB,51.59,-3.0,82.4,37,68,10.29,broken clouds,0.0,0
218,Los Llanos De Aridane,ES,28.66,-17.92,75.2,60,20,17.22,few clouds,0.0,0
219,Bathsheba,BB,13.22,-59.52,87.8,70,40,25.28,scattered clouds,0.0,0
220,Hidaka,JP,42.87,142.44,57.2,93,75,8.05,broken clouds,0.0,0
221,Shangrao,CN,28.45,117.97,74.34,94,100,2.37,light rain,0.79,0
